Code,Name,Description,Vector,Credits,Price,Availability,Equivalences,Exclusion,Prereq1,Prereq2,Prereq3,Prereq4,Coreq1,Coreq2,isHonours,maxCredits
COSC416,d Special Topics in Databases,Advanced or specialized topics in database design; modelling; and implementation. This course may be taken more than once for credit. Credit will be granted for only one of COSC 416 or COSC 516 when the subject matter is of the same nature. ,,3,,0;0;0;0,,,COSC304,3,,,,,,
COSC417,Topics in Computer Networks,Advanced or specialized topics in emerging network technologies. With different topics; this course may be taken twice for credit.,[3-2-0],3,,0;1;1;0,,,COSC315,COSC328,,,,,,
COSC419,Topics in Computer Science,Advanced or specialized topics in computer science. Consult the department for the specific topic to be offered in any given year. Credit will be granted for only one of COSC 419 or COSC 519 when the subject matter is of the same nature. ,,3,,1;0;0;0,,,4,,,,,,,
COSC420,Algorithms and Intelligent Systems for Bioinformatics,Algorithmic techniques for problems in bioinformatics. Analysis and comparison of genetic sequences; construction of phylogenetic trees; prediction of biomolecular structures; construction and analysis of biopolymer interaction networks; pattern discovery in biological data; techniques from artificial intelligence.,[3-2-0],3,,0;1;0;0,,,COSC222,COSC320;COSC322,,,,,,
COSC421,Network Science,Graphs and complex networks in scientific research. Probabilistic and statistical models. Structures; patterns; and behaviors in networks. Algorithmic and statistical methods (online/mobile); social networks; and social media platforms. Social influence; information diffusion; and viral marketing. Sentiment analysis and opinion mining. Data privacy. Search engines and recommendation systems. Credit will be granted for only one of COSC 421; DATA 421 or DATA 521.,[3-2-0],3,,0;1;0;0,,,STAT230,,,,,,,
COSC435,Computer-Based Image Analysis,Digital processing of remotely sensed image data. Techniques for acquiring; calibrating; registering; enhancing; and interpreting digital images are included.,[2-0-2],3,,1;0;0;0,,,COSC222,,,,,,,
COSC442,Mobile Educational Game Development,Game design and development on a mobile platform with special attention to educational games. Topics may include: educational frameworks; storytelling techniques; game design; iterative prototyping; evaluation methodology; learner modelling; and learning analytics. Credit will be granted for only one of COSC 442 or COSC 542.,[3-0-0],3,,0;1;0;0,,,COSC341,COSC310,,,,,,
COSC445,Computer Vision,Processing and interpretation of images: image sensing; filtering; algorithms for colour analysis; texture description; image segmentation; and object recognition.,[3-2-0],3,,1;0;0;0,,,COSC222,MATH200;APSC248,MATH221;APSC179,,,,,
COSC447,Directed Studies in Software Maintenance,Maintenance of a large software system including prioritizing requests; modifying the design; implementing new features; fixing bugs; and regression testing. The student will undertake the maintenance of an existing project.,,3,,1;1;1;1,,,3,,,,,,,
COSC448,Directed Studies in Computer Science,Supervised reading; participation in a seminar; and one or more programming projects. With different topics; this course may be taken twice for credit.,,3,,1;1;1;1,,,3,,,,,,,6
COSC490,Student-Directed Seminar,"Self-directed; collaborative studies; in a group-learning environment; initiated and coordinated by senior undergraduate or graduate students with the supervision of a faculty advisor. Course structure; enrolment and delivery methods will comply with the ""Handbook for Student-Directed Seminars"". ",,3,,1;1;0;0,,,3,,,,,,,
COSC499,Capstone Software Engineering Project,A capstone project requiring team software development for an actual client. Students must produce a comprehensive report and deliver a formal presentation.,[0-3-0],6,,1;1;1;1,,,COSC304,COSC310,COSC341,,,,,
DATA101,Making Predictions with Data,"Introduction to the techniques and software for handling real-world data. Topics include data cleaning, visualization, simulation, basic modelling, and prediction making.",,3,,1;1;1;0,,,,,,,,,,
DATA301,Introduction to Data Analytics,Techniques for computation; analysis; and visualization of data using software. Manipulation of small and large data sets. Automation using scripting. Real-world applications from life sciences; physical sciences; economics; engineering; or psychology. No prior computing background is required. Credit will be granted for only one of COSC 301; DATA 301 or DATA 501. ,[3-2-0],3,,1;1;0;0,COSC301;DATA501,,3;COSC111;COSC122,,,,,,,
DATA310,Applied Regression Analysis,"Theory and application of simple and multiple linear regression models, estimation, inference (confidence intervals, prediction intervals and hypothesis testing), polynomial regression, ANOVA and ANCOVA, variable selection, model adequacy and residual diagnostics.",,3,,1;0;0;0,,,STAT205;STAT230;MATH221,,,,,,,
DATA311,Machine Learning,Regression; classification; resampling; model selection and validation; fundamental properties of matrices; dimension reduction; tree-based methods; unsupervised learning. Credit will be granted for only one of STAT 311 or DATA 311.,[3-2-0],3,,1;1;0;0,,,Complex,,,,,,,
DATA315,Applied Time Series and Forecasting,"Trends, stationary and nonstationary time series models, forecasting, seasonal models.",,3,,0;1;0;0,,,STAT230;STAT205,,,,,,,
DATA405,Stochastic Modelling and Simulation,"Pseudorandom number generation and testing. Simulation and modelling of univariate and multivariate data; stochastic models, including Poisson processes and Markov chains; MCMC simulation, hidden Markov models, and queuing systems. ",,3,,1;0;0;0,,,STAT230;STAT205,,,,,,,
DATA407,Sampling and Design,,,3,,0;1;0;0,,STAT507,STAT230;STAT205;PSYO372;BIOL202,,,,,,,
DATA410,Regression and Generalized Linear Models,Regression; linear models; generalized linear models; additive models; generalized additive models; mixed models. Theory and numerical performance. Credit will be granted for only one of DATA 410; STAT 310; STAT 410; or STAT 538.,,3,,0;1;0;0,,STAT538,DATA310,,,,,,,
DATA419C,Topics in Data Science - STAT LEARNING,Advanced or specialized topics in data science. Consult the department for the specific topic to be offered in any given year. This course may be taken more than once for credit with different topics.,,3,,0;1;0;0,,,4,,,,,,,
DATA421,,,,3,,0;0;0;0,COSC421,,STAT230,,,,,,,
DATA448,Directed Studies in Data Science,Investigation of a specific topic as agreed upon by the student and the faculty supervisor. Completion of a project and an oral presentation are required.,,3,,1;1;0;0,,,3,,,,,,,6
DATA500,Communication and Consulting in Data Science," Effective consulting practices, ethical considerations, methodology selection, data preparation, effective software development. Credit will be granted for only one of DATA 500 or STAT 400 when the subject matter is of the same nature.",,3,,1;0;0;0,,,,,,,,,,
DATA501,,,,3,,0;0;0;0,COSC301;DATA301,,,,,,,,,
DATA505,Modelling and Simulation,"Simulation methodology: data collection, model design, output analysis, optimization, validation.",,3,,1;0;0;0,,,,,,,,,,
ECON101,Principles of Microeconomics,Elements of theory and Canadian policy and institutions concerning the economics of markets and market behaviour; prices and costs; exchange and trade; competition and monopoly; distribution of income.,,3,,1;1;1;1,,,,,,,,,,
ECON102,Principles of Macroeconomics,Elements of theory and Canadian policy and institutions concerning the economics of growth and business cycles; national income accounting; interest and exchange rates; money and banking; the balance of trade.,,3,,1;1;1;1,,,,,,,,,,
ECON204,Intermediate Microeconomic Analysis,Microtheory course at the post-principles level. Analysis of consumer behaviour; production; exchange; equilibrium of the firm under varying market structures; factor markets; economic efficiency; and welfare.,,3,,1;0;0;0,,,ECON101,MATH100;MATH116,,,,,,
ECON205,Intermediate Macroeconomic Analysis,Macrotheory course at the post-principles level. Income and employment theory; monetary and fiscal policies; the impact of international trade and finance on the domestic economy; economic growth and fluctuations.,,3,,0;1;0;0,,,ECON102,MATH100;MATH116,,,,,,
ECON221,Introduction to Strategic Thinking,Game theory with applications drawn from many disciplines and the principles of strategic interactions.,,3,,0;1;0;0,,,ECON101,ECON102,,,,,,
ECON225,Data and Statistics for Economics,"Visualization and interpretation of economic data. Topics include descriptive statistics, graphical methods, and inference, and applying these methods to economic data. ",,3,,1;1;0;0,,,ECON101,ECON102,,,,,,
ECON232,History of Economic Thought,"Evolution of economic thinking from ancient to present times. The Greek, Islamic, and Medieval scholars; the Physiocrats, Adam Smith, Malthus, Bentham, Ricardo, Mill, Marx, Keynes, and other major economic thinkers. Development of fundamental economic ideas and conflicting perspectives are studied within their social and economic context.",,3,,1;0;0;0,,,ECON101,ECON102,,,,,,
ECON295,Managerial Economics,"Economic foundations of managerial decision-making. Demand theory, cost and production, market structure, competitive strategy, organization of the firm, welfare-economic foundations of business regulation.",,3,,1;0;0;1,,,ECON101,ECON102,,,,,,
ECON308,Intermediate Microeconomics II,"Factor markets, general equilibrium, uncertainty and information, contract theory, externalities, public goods, and welfare.",,3,,0;1;0;0,,,ECON204,,,,,,,
ECON320,Introduction to Mathematical Economics,Introduction to Mathematical Economics,,3,,1;0;0;0,,,ECON101,ECON102,MATH101;MATH142,,,,,
ECON327,Introduction to Empirical Economics,The essentials of probability and statistics for applied work in economics. Topics include descriptive statistics; probability; estimation; hypothesis testing; and analysis of variance.,,3,,1;0;0;0,,,ECON101,ECON102,MATH101;MATH142,,STAT230,,,
ECON328,Methods of Empirical Research,Techniques of empirical economic research. Simple and multiple regression; time series analysis; and simultaneous equation estimation. Students are required to undertake applied work.,,3,,0;1;0;0,,,ECON327,,,,,,,
ECON331,World Economy since 1800,"Development of the world economy, from the onset of the Industrial Revolution around 1800 to the present. Broad causes of world economic development, interaction between economic forces and social institutions, and development of particular national economies.",,3,,0;1;0;0,,,ECON101,ECON102,,,,,,
ECON339,Economics of Technological Change,"Application of economic analysis to technological change; impact of technological change on the growth and distribution of income; economic influences on the invention and diffusion of technology; interaction between technology, work, skills, and education; public policy toward technological change.",,3,,0;1;0;0,,,ECON101,ECON102,,,,,,
ECON340,Financial Economics,"Fundamental topics in financial economics, including net present value, risk and expected return, valuing bonds and equities, the capital asset pricing model, futures and options, and international investing.",,3,,0;1;0;0,,,ECON101,ECON102,,,,,,
ECON345,Money and Banking,Financial markets and financial institutions in theory and practice; structure and development of the Canadian financial system; development and theory of the regulation of the financial system; process of monetary control; theory and history of central banking and monetary policy.,,3,,1;1;0;0,,,ECON101,ECON102,,,,,,
ECON347,Monetary Economics,"Monetary theory and practice. Demand for money. Goals, strategies and tools of central banks. Theory and practice of the interactions between money and other economic variables. Recent policy issues, such as digital currency.",,3,,1;0;0;0,,,ECON101,ECON102,,,,,,
ECON351,Women in the Economy,"Economic analysis of markets and policies particularly affecting women. Economic discrimination; educational, occupational, and work choices; pay and employment equity; allocation of work time; household and market consumption; economics of marriage and fertility; poverty; taxation; income security and pension policies; and historical perspectives.",,3,,0;1;0;0,,,ECON101,ECON102,,,,,,
ECON352,Public Sector Economics,"The government plays a pervasive role in the Canadian economy. The powerful tools of government policy - taxation, spending, borrowing, and regulation - affect the economic life of every Canadian. This course applies the tools of economic analysis to the study of some of the most important aspects of public policy in these areas.",,3,,0;1;0;0,,,ECON101,ECON102,,,,,,
ECON355,International Trade,"The determinants of trade patterns, trade policy, tariff and non-tariff barriers to trade, political economy of protectionism, bilateral and multilateral trade disputes, trade liberalization, trade and development.",,3,,1;1;0;0,,,ECON101,ECON102,,,,,,
ECON356,International Finance,Exchange rate policy regimes; international financial organizations; the interaction between monetary policy and exchange rate regimes; financial crises.,,3,,1;0;0;0,,,ECON101,ECON102,,,,,,
ECON360,Labour Economics,"Canadian labour market. Labour supply, allocation of time among work and non-market activity, labour force participation, education and training. Determination of and effect of unions on wages and employment. Wage structure and differentials.",,3,,1;1;0;0,,,ECON101,ECON102,,,,,,
ECON361,Economics of Industrial Relations,Economic aspects of industrial relations in Canada; why workers join unions; theory of trade union behaviour; labour movement in Canada; wage determination under collective bargaining; causes of strikes and lockouts; unions and wage structure.,,3,,1;0;0;0,,,ECON101,ECON102,,,,,,
ECON391,Topics in Economics - LAW & ECON,"Examination of selected topics in current economic theory and/or policy. Topics vary each time the course is offered. With different topics, the course can be taken more than once for credit.",,3,,0;1;0;0,,,ECON101,ECON102,,,,,,6
ECON401,Applied Microeconomic Analysis,"Advanced analysis of consumer theory, market supply and demand, competition, general equilibrium, the theory of the firm, and the economics of information and uncertainty.",,3,,1;0;0;0,,,3,ECON204,MATH100;MATH116,MATH101;MATH142,,,,
ECON402,Applied Macroeconomic Analysis,"Advanced treatment of the core topics in macroeconomics such as the business cycle, inflation, unemployment, growth, alternative exchange rate regimes, and fiscal and monetary policy.",,3,,0;1;0;0,,,3,ECON205,MATH100;MATH116,MATH101;MATH142,,,,
ECON409,Economic Growth Theory,"Advanced topics in economic growth theory and their applications to Real Business Cycle theory. Topics include exogenous and endogenous growth theory, Neoclassical and New Classical growth theory.",,3,,1;0;0;0,,,3,ECON204,ECON205,MATH100;MATH116,,,,
ECON427,Econometrics,Advanced treatment of estimation; inference; and econometric problems and techniques with focus on both theoretical and applied methods and with application to a variety of economic models. Credit will be granted for only one of ECON 427 or ECON 491 when the subject matter is of the same nature.,,3,,0;1;0;0,,,ECON328,,,,,,,
ECON495,Honours Seminar,Reports and group discussions of selected topics for fourth-year Honours students. Development of a research proposal.,,3,,1;1;0;0,,,4,,,,,,1,
EESC101,Environmental Science,"A quantitative and scientific approach to the understanding of global energy, water and nutrient cycling; growth of human populations and their effects on the environment and ecosystem function. Functional understanding of modern environmental issues, and the requirements of, and opportunities for, sustainability.",,3,,1;1;0;0,,,,,,,,,,
EESC104,Four Billion Years and Counting,The geological history of what is now Canada from the formation of Earth to the present day. Practical applications of geology to Canadian society and the economy.,,3,,1;1;0;0,,,,,,,,,,
EESC106,The Catastrophic Earth,"The causes, physical characteristics, and consequences of natural disasters such as earthquakes, volcanic eruptions, severe weather, landslides, tsunamis, floods, meteor impact, and mass extinctions.",,3,,1;1;0;0,,,,,,,,,,
EESC111,Earth Science,Origin; structure and composition of Earth. Plate tectonics as the unifying mechanism for mountain building; formation of ocean basins; and assembly and break-up of continents. Minerals; rocks; Earth surface processes; geological maps; natural resources and hazards.,,3,,1;1;1;0,,,,,,,,,,
EESC112,Environmental Earth Science,"Earth systems and environment: atmosphere, climate, water cycle, oceans, surface water, groundwater, earth surface processes, soils, and biogeochemical cycling. Applications of environmental science to solving modern environmental problems.",,3,,0;1;0;0,,,EESC111,CHEM111;CHEM121,,,,,,
EESC121,Earth History,Origin of rocks; oceans; atmosphere and the record of life on Earth. Scientific methods of studying Earth history. Geologic time; dating methods; the stratigraphic record. Organic evolution; the fossil record; and extinctions.,,3,,0;1;0;0,,,EESC111,,,,,,,
EESC200,Mineralogy,Crystallography and the physical and chemical properties of minerals. Recognition and identification of common minerals.,,3,,1;0;0;0,,,EESC111,CHEM111;CHEM121,,,,,,
EESC201,Optical Mineralogy and Petrology,Identification of common rock-forming minerals using the polarizing microscope. Use of minerals and rock textures as a means of determining the classification and petrogenesis of igneous and metamorphic rocks.,,3,,0;1;0;0,,,EESC111;EESC200,,,,,,,
EESC205,Introduction to Hydrology,Principles of hydrology at site; watershed; and regional scales. Techniques of measurement and analysis. Emphasizes surface water hydrology of western North America. Credit will be granted for only one of EESC 205 or GEOG 205.,,3,,1;0;0;0,GEOG205,,Complex,,,,,,,
EESC212,Atmospheric Environments,Physical principles underlying weather and climates. Thermal; moisture; and wind climates at scales from valleys to the globe. Daily weather; air pollution; global change. Credit will be granted for only one of EESC 212 or GEOG 200.,,3,,0;1;0;0,GEOG200,,GEOG108,GEOG109,,,,,,
EESC213,Introductory Forest Science and Management,"Global forests, classification, silviculture, forest tenure systems, forest policy evolution, forest regulations, and the profession. Overview of forest disturbance impacts, eco-forestry, sustainable forest management, eco-certification, the role of information technologies and research.",,3,,0;1;0;0,,,Complex,,,,,,,
EESC222,Geomorphology,Landform assemblages and processes of landscape evolution on Earth. Fundamental concepts; including system equilibrium; thresholds; complex response to external forces; and scale dependency; with application to mountains; rivers; coasts; and glaciated terrain. Laboratory exercises require field work in lab time. Required one-day; weekend trip. Credit will be granted for only one of EESC 222 or GEOG 222.,,3,,1;0;0;0,GEO222,,GEOG108,GEOG109,,,,,,
EESC301,,,,3,,0;0;0;0,,,,,,,,,,
EESC303,Oceanography,"Geological, chemical, physical and biological oceanography using a multi-disciplinary approach. Origins of oceans, plate tectonics and ocean basins, marine sediments, physical properties and composition of seawater, ocean-atmosphere interactions, surface and deep currents, waves, tides, primary productivity, pelagic and benthic ecosystems, methods of ocean investigation.",,3,,1;0;0;0,,,3,EESC301;BIOL307;CHEM301;EESC309,EESC101;EESC111;EESC121;GEOG108;GEOG109,,,,,
EESC304,Anthropogenic Climate Change,"Mechanisms of anthropogenic climate change and its impact on the atmosphere, hydrosphere, cryosphere, and oceans since the Industrial Revolution. Use of computer models to forecast 21st century climate changes.",,3,,0;1;0;0,GEOG304,,3,GEOG108;GEOG200;EESC212,,,,,,
EESC309,Global Biogeochemistry,"Functional processes and reactions of our living planet. Cycles of materials and energy among the atmosphere, lithosphere, and terrestrial and aquatic ecosystems. Case studies on the degradation of ecosystem function from anthropogenic alterations of natural cycles.",,3,,0;1;0;0,,,CHEM113;CHEM123,,,,,,,
EESC313,Management of Forested Watersheds,"Effects of watershed management on water quality and quantity, channel morphology, in-stream wood, and aquatic habitat. Emphasizing integrated land use management and the maintenance of critical watershed functions and services.",,3,,1;0;0;0,,,3,EESC111;EESC213;GEOG108;GEOG109,,,,,,
EESC314,"Environmental Impact Assessment: Process, Regulation and Administration","Legal, administrative and project management aspects of environmental impact assessment (EIA). EIA regulations, processes and systems. Assessment approaches and methods for cumulative effects, social/economic impacts, strategic and regional assessment, risk assessment and public participation. Canadian federal, territorial and provincial EIA systems.",,3,,1;0;0;0,GEOG314,,Complex,,,,,,,
EESC315,Environmental Impact Assessment: Techniques and practice,"Practical techniques and methods for environmental impact assessment. Technical approaches, evaluation and estimation tools, and project management skills used for environmental assessment work.",,3,,0;1;0;0,,,Complex,,,,,,,
EESC322,Igneous and Metamorphic Petrology,"Description, classification, and petrogenesis of igneous and metamorphic rocks. Igneous and metamorphic processes. Past and present plate tectonic implications.",,3,,1;0;0;0,,,EESC201,,,,,,,
EESC323,Geochemistry,"Origin, distribution, and cycles of elements in Earth. Low-temperature aqueous solution chemistry, fluid-rock interaction, mineral stability, isotopes.",,3,,1;0;0;0,,,EESC111;EESC200;GEOG109;CHEM201;CHEM210,CHEM113;CHEM123,,,,,,
EESC325,Structural Geology,"Description and classification of geologic structures. Stress, strain and their relationship to deformation processes. Mechanics of faulting, folding, and shear zone development. Interpretation of physical deformation processes and the resulting geologic structures.",,3,,1;0;0;0,,,3,EESC111,,,,,,
EESC342,Hydrogeology,Introduction to the theory of groundwater flow; flow nets; regional groundwater resource evaluation; well hydraulics.,,3,,1;0;0;0,,,3,MATH100,PHYS111;PHYS112,EESC111;EESC121;GEOG109;EESC205;GEOG205,,,,
EESC350,Geophysics,"Instrumentation, application, and limitations of gravity, magnetic, electromagnetic, electrical and seismic methods in the exploration for mineral and energy resources and in environmental and engineering applications.",,3,,0;1;0;0,,,3,MATH101;MATH103,EESC111;EESC121,PHYS121;PHYS122,,,,
EESC356,Stratigraphy and Sedimentology,"Origin, classification and interpretation of sediments and sedimentary rocks. Weathering, erosion, transportation, sedimentation, and lithification of clastic materials. Non-clastic sediments. Sedimentary environments, facies and stratigraphic methods.",,3,,0;1;0;0,GEOG356,,EESC121;EESC222;GEOG222,,,,,,,
EESC360,Geologic Resources,"Mineral deposits, their geologic settings, genetic classification and models of formation. Metalliferous, non-metalliferous and industrial materials deposits.",,3,,0;1;0;0,,,EESC200,EESC201,,,,,,
EESC367,Energy Resources Management,"Key energy systems and resources management from both global and Canadian perspectives. Supplies, distribution, consumption, resilience and sustainability of energy resources. Alternative energy sources, conventional and unconventional fossil fuels, energy production and delivery systems.",,3,,0;1;0;0,GEOG367,,3,GEOG108;GEOG129;EESC101;EESC111,,,,,,
EESC380,,,,3,,0;0;0;0,,,,,,,,,,
EESC381,,,,3,,0;0;0;0,,,,,,,,,,
EESC398,Technical Communication,"Written and oral communication. Report preparation, business correspondence, and oral presentation of technical material. Advanced grammar and writing styles. Logical writing; referencing; and editing. Presenting technical information to scientists and non-scientists.",,3,,1;0;0;0,,,APSC176;CORH203;ENGL109;ENGL112;ENGL113;ENGL114;ENGL150;ENGL151;ENGL153;ENGL154;ENGL155;ENGL156,,,,,,,
EESC402,Freshwater Resources,Integrated approach to freshwater resources and their place in environmental science. Topical issues with emphasis on management options and consequences. Required field trips during lab times.,,3,,0;1;0;0,,,Complex,,,,,,,
EESC413,Analytical Methods in Hydrology,Application of advanced analytical methods to hydrological data for watershed or water resource planning and management. Frequency analysis; storm design; regionalization; flow routing; geographic information systems (GIS) application; time series analysis and modelling.,,3,,0;1;0;0,,,3,GEOG271;ENGR360;BIOL202;STAT230,EESC205;GEOG205;ENGR341;ENGR342,,,,,
EESC423,Tracers of Natural Processes,"Stable and radiogenic isotopes in the lithosphere, hydrosphere, atmosphere and biosphere. Fractionation processes, dating methods. Selected topics in the use of isotopic tracers.",,3,,1;0;0;0,,,3,EESC111,CHEM113;CHEM123,,,,,
EESC425,Tectonics and Orogenesis,"Large-scale Earth structure, tectonic environments, Archean geology and the initiation of plate tectonics. Analytical toolsets. Orogenesis within the Canadian Cordillera, the Andes, the Alps, and the Himalaya.",,3,,0;1;0;0,,,EESC323,EESC325,,,,,,
EESC431,Quaternary Glacial Environments,"Origin, nature, and distribution of glacial landforms and landform assemblages. Evaluation of hypotheses and theories on formation of glacial landforms and sediments, glacial mechanics, hydrology, and Quaternary stratigraphy. Students are required to attend several field trips on weekends.",,3,,1;0;0;0,,,EESC222;EESC356;GEOG222;GEOG356,,,,,,,
EESC437,,,,3,,0;0;0;0,,,,,,,,,,
EESC444,,,,3,,0;0;0;0,,,,,,,,,,
EESC449,Honours Thesis,Students undertake an individual research project as agreed upon by the student and the supervising faculty member. A written thesis is required and the research must be publicly presented as a seminar or poster.,,6,,1;1;0;0,,,4,,,,,,1,
ENGL109,Studies in Composition (Enhanced),A two-semester practice-based course that gives learners an extended opportunity to develop university-level writing skills. Advances communication abilities in rhetoric; critical analysis; grammar; and documentation; with emphasis on research-based writing and academic literacy. Essays and exercises are required. Credit will be granted for only one of ENGL 109; ENGL 112 or ENGL 114. ,,6,,1;1;0;0,ENGL112;ENGL114,,,,,,,,,
ENGL112,Studies in Composition,Practice-based approach to writing at the university level. Emphasis is placed on the processes of research-based writing. Credit will be granted for only one of ENGL 112; ENGL 109; or ENGL 114. ,,3,,1;1;1;1,ENGL109;ENGL114,,,,,,,,,
ENGL113,Reading and Writing Across the Curriculum,Non-fictional prose; focus on rhetorical analysis and critical evaluation of academic essays chosen from the humanities; social sciences; and sciences. Characteristics of the academic essay (strategies of argument; organization; style; incorporation of research; and documentation) and assessing essays in terms of persuasiveness; accuracy; fairness; and significance. Emphasis on processes of research-based writing.,[3-0-0],3,,0;0;0;0,,,,,,,,,,
ENGL114,Studies in Composition: Aboriginal Perspectives,Practice-based approach to writing at the university level in relation to aboriginal perspectives. Emphasis is placed on the processes of research-based writing. Credit will be granted for only one of ENGL 114; ENGL 109; or ENGL 112. ,,3,,0;1;0;0,ENGL109;ENGL112,,,,,,,,,
ENGL150,Introduction to Literary Genre,Introduction to literature focusing on genres such as poetry; drama; and fiction. Develops skills in interpretation of texts. At least 35% of class time involves practice-based instruction in essay writing and research. ,,3,,1;1;1;1,,,,,,,,,,
ENGL151,Critical Studies in Literature,Ways of reading; interpreting; and writing about literature using selected critical approaches; such as formalist; feminist; postcolonial; and psychoanalytical. At least 35% of class time involves practice-based instruction in essay writing and research. ,,3,,1;1;1;0,,,,,,,,,,
ENGL153,Readings in Narrative,Study of narrative forms such as life-writing; films; histories; myths; narrative poems; novels; short stories; and songs. At least 35% of class time involves practice-based instruction in essay writing and research. ,,3,,1;1;0;0,,,,,,,,,,
ENGL154,Indigenous Narrative,Introduces students to Indigenous narrative forms; including textual and oral storytelling in anecdotes; life-writing; films; histories; narrative poems; novels; performances; and songs. At least 35% of class time is dedicated to instruction in university-level essay writing and research. ,,3,,0;0;0;0,,,,,,,,,,
ENGL155,Writing and Making Technology in the Humanities,Introduction to digital and technological cultures with a focus on humanities methods; drawing on a range of periods in technological development and critical approaches to studying technology. At least 35% of class time involves practice-based instruction in humanities criticism; prototyping; writing; and research.,,3,,0;1;0;0,,,,,,,,,,
ENGL156,Environmental Literature,Introduction to literature and criticism on the environment. Develops skills in interpretation of texts. At least 35% of class time involves practice-based instruction in essay writing and research.,,3,,1;0;0;0,,,,,,,,,,
ENGR332,Surveying and GIS Analysis,"Theory and application methods for measuring and representing objects of interest on, below, and over the earth's surface, and for analyzing data to meet engineering design and operational objectives driven by socio-economic or environmental concerns of natural and engineered systems.",,3,,0;1;0;0,,,APSC169,APSC254,,,,,,
ENGR341,Engineering Hydrology,Hydrologic processes - weather; precipitation; infiltration; evaporation; snowmelt and runoff generation. Emphasis on quantitative techniques including: hydrograph analysis; reservoir and channel routing; statistical methods and design floods; hydrologic modelling.,,3,,1;0;0;0,,,APSC253,,,,,,,
ENGR342,Open Channel Flow,Channel characteristics; flow classification; specific energy and momentum; uniform flow; critical flow; hydraulic jump; flow control structures; channel design; unsteady flow; contaminant transport.,,3,,1;0;0;0,,,APSC253,,,,,,,
ENGR360,Engineering Probability and Statistics.,Set theory; conditional probability; distribution function; functions of random variables; central limit theorem; sample distributions; confidence intervals; elements of parameter estimation and hypothesis testing; testing the fit of a distribution. Applications of probability and statistics in engineering. Credit will be granted for only one of ENGR 360 or ENGR 460.,,3,,1;0;0;0,,,APSC248,APSC254,,,,,,
GEOG108,"Earth Systems: Weather, Climate, and Life",Principles and processes that govern the functions of the atmosphere; hydrosphere; and biosphere. Interactions between these environmental systems and human activity.,,3,,1;0;0;0,,,,,,,,,,
GEOG109,Earth Systems: Landscape Dynamics,Principles and processes that govern the functions of the Earth's lithosphere and terrestrial geomorphology. Interactions between the lithospheric system and human activity.,,3,,0;1;0;1,,,,,,,,,,
GEOG128,,,,3,,1;1;1;0,,,,,,,,,,
GEOG129,"Human Geography: Resources, Development, and Society","Introduction to concepts, methods, modes of explanation, and recent critical changes in the study of human geography. Interpretation and explanation of geographic variations arising within contexts of rapidly changing cultural, demographic, economic, political, and social phenomena and their relationship to the environment. Not for Science credit.",,3,,1;1;0;0,,,,,,,,,,
GEOG200,,,,3,,0;1;0;0,EESC212,,GEOG108,GEOG109,,,,,,
GEOG205,,,,3,,0;0;0;0,EESC205,,GEOG108,GEOG109,,,,,,
GEOG207,,,,3,,0;0;0;0,,,,,,,,,,
GEOG213,,,,3,,0;0;0;0,,,,,,,,,,
GEOG222,,,,3,,1;0;0;0,EESC222,,GEOG108,GEOG109,,,,,,
GEOG271,Geographic Data Analysis,Introduction to descriptive and inferential statistical analysis in geography and Earth sciences. Topics include descriptive statistics; elementary probability; statistics for spatial analysis; hypotheses testing; analysis of variance; correlation; and regression.,,3,,0;1;0;0,,,,,,,,,,
GEOG272,,,,3,,0;0;0;0,,,EESC111;GEOG109;GEOG128,,,,,,,
GEOG304,,,,3,,0;1;0;0,EESC304,,3,GEOG108;GEOG200;EESC212,,,,,,
GEOG314,,,,3,,1;0;0;0,EESC314,,3,,,,,,,
GEOG316,,,,3,,0;1;0;0,,,3,GEOG108,GEOG109,,,,,
GEOG351,,,,3,,0;1;0;0,,,3,GEOG128,GEOG129,,,,,
GEOG356,Stratigraphy and Sedimentology,"Origin, classification and interpretation of sediments and sedimentary rocks. Weathering, erosion, transportation, sedimentation, and lithification of clastic materials. Non-clastic sediments. Sedimentary environments, facies and stratigraphic methods.",,3,,0;1;0;0,EESC356,,EESC121;EESC222;GEOG222,,,,,,,
GEOG358,,,,3,,1;0;0;0,,,3,GEOG128,GEOG129,,,,,
GEOG371,,,,3,,0;0;0;0,,,,,,,,,,
GEOG377,,,,3,,0;0;0;0,,,,,,,,,,
GEOG380,,,,3,,0;1;0;0,,,,,,,,,,
GEOG381,,,,3,,0;0;0;0,,,,,,,,,,
GEOG421,,,,3,,1;0;0;0,,,3,GEOG128,GEOG129,,,,,
GEOG427,,,,3,,0;0;0;0,,,3,GEOG128,GEOG129,,,,,
GEOG437,,,,3,,0;0;0;0,,,,,,,,,,
GEOG451,,,,3,,0;1;0;0,,,3,GEOG128,GEOG129,,,,,
GEOG458,,,,3,,1;0;0;0,,,3,GEOG128,GEOG129,,,,,
GISC380,Fundamentals of Geographic Information Science I,Spatial data representation; raster and vector models; spatial database structure; coordinate reference frames and projections; spatial statistics; metadata and data standards; associated technologies and data sources. Laboratory exercises require ArcGIS. Credit will be granted for only one of GISC 380; GEOG 370; GEOG 380; or EESC 380.,,3,,1;0;0;0,,GEOG370;GEOG380;EESC380,3,,,,,,,
